ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6153657""","""1568629""","""A-000132118""",09/02/2018,"""1802-3M5D-O""",""" ""","""Completed/Cancelled"""
"""6038902""","""1568634""","""A-000132122""",09/10/2017,"""1710-GNYM-O""","""Leave by the front door ""","""Completed"""
"""6165252""","""1575922""","""A-000149856""",21/02/2018,"""""",""" ""","""Completed"""
"""6165257""","""1575926""","""A-000149857""",21/02/2018,"""""",""" ""","""Completed"""
"""6169597""","""1576071""","""A-000149897""",27/02/2018,"""""",""" ""","""Completed"""
"""6118503""","""1573488""","""A-000148124""",27/12/2017,"""""",""" ""","""Completed"""
"""6118504""","""1573491""","""A-000148126""",27/12/2017,"""""",""" ""","""Completed"""
"""6118505""","""1573510""","""A-000148129""",27/12/2017,"""""",""" ""","""Completed"""
"""6118506""","""1573485""","""A-000148121""",27/12/2017,"""""",""" ""","""Completed"""
"""6118507""","""1573493""","""A-000148127""",27/12/2017,"""""",""" ""","""Completed"""
"""6118508""","""1573486""","""A-000148122""",27/12/2017,"""""",""" ""","""Completed"""
"""6118509""","""1573512""","""A-000148131""",27/12/2017,"""""",""" ""","""Completed"""
"""6118511""","""1573511""","""A-000148130""",27/12/2017,"""""",""" ""","""Completed"""
"""6080560""","""1571578""","""A-000141604""",21/11/2017,"""""",""" ""","""Completed"""
"""6081964""","""1571609""","""A-000142862""",22/11/2017,"""""",""" ""","""Completed"""
"""6160024""","""1575676""","""A-000149839""",17/02/2018,"""1802-SVEL-O""","""Leave by the front door ""","""Completed"""
"""6160026""","""1575677""","""A-000149840""",17/02/2018,"""1802-FXZF-O""","""Leave by the front door ""","""Completed"""
"""6108688""","""1569140""","""A-000133074""",17/12/2017,"""1712-NVYW-O""","""Leave by the front door ""","""Completed"""
"""6168140""","""1576012""","""A-000149883""",26/02/2018,"""""",""" ""","""Completed"""
